NM_MUNICIPIO,NR_ZONA,NR_SECAO,DS_CARGO,NM_VOTAVEL,QT_VOTOS
MAGE,110,496,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,252,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,39,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,6,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,439,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,148,233,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,110,555,DEPUTADO FEDERAL,MARCOS TAVARES,10
MAGE,110,533,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,110,529,DEPUTADO FEDERAL,MARCOS TAVARES,8
MAGE,110,516,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,148,243,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,282,DEPUTADO FEDERAL,MARCOS TAVARES,9
MAGE,148,130,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,236,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,148,83,DEPUTADO ESTADUAL,RICARDO DA KAROL,24
MAGE,110,109,DEPUTADO ESTADUAL,RICARDO DA KAROL,11
MAGE,148,239,DEPUTADO ESTADUAL,RICARDO DA KAROL,17
MAGE,148,53,DEPUTADO ESTADUAL,RICARDO DA KAROL,21
MAGE,148,175,DEPUTADO ESTADUAL,RICARDO DA KAROL,34
MAGE,110,475,DEPUTADO FEDERAL,JUNINHO DO PNEU,3
MAGE,148,21,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,148,143,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,110,526,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,274,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,148,142,DEPUTADO FEDERAL,MARCOS TAVARES,10
MAGE,148,25,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,148,49,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,417,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,297,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,557,DEPUTADO FEDERAL,MARCOS TAVARES,7
MAGE,110,365,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,481,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,148,44,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,119,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,499,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,148,202,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,148,69,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,102,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,537,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,148,111,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,148,154,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,505,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,455,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,123,DEPUTADO FEDERAL,MARCOS TAVARES,10
MAGE,110,295,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,251,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,416,DEPUTADO FEDERAL,MARCOS TAVARES,7
MAGE,110,518,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,33,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,227,DEPUTADO ESTADUAL,RICARDO DA KAROL,21
MAGE,110,435,DEPUTADO ESTADUAL,RICARDO DA KAROL,8
MAGE,110,495,DEPUTADO ESTADUAL,RICARDO DA KAROL,23
MAGE,110,46,DEPUTADO ESTADUAL,RICARDO DA KAROL,14
MAGE,110,285,DEPUTADO ESTADUAL,RICARDO DA KAROL,7
MAGE,110,465,DEPUTADO ESTADUAL,RICARDO DA KAROL,8
MAGE,148,93,DEPUTADO ESTADUAL,RICARDO DA KAROL,17
MAGE,110,431,DEPUTADO ESTADUAL,RICARDO DA KAROL,9
MAGE,110,251,DEPUTADO ESTADUAL,RICARDO DA KAROL,5
MAGE,110,416,DEPUTADO ESTADUAL,RICARDO DA KAROL,20
MAGE,110,518,DEPUTADO ESTADUAL,RICARDO DA KAROL,4
MAGE,110,33,DEPUTADO ESTADUAL,RICARDO DA KAROL,14
MAGE,110,358,DEPUTADO FEDERAL,JUNINHO DO PNEU,27
MAGE,148,137,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,148,40,DEPUTADO FEDERAL,JUNINHO DO PNEU,2
MAGE,148,147,DEPUTADO FEDERAL,JUNINHO DO PNEU,4
MAGE,110,38,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,148,207,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,110,295,DEPUTADO ESTADUAL,RICARDO DA KAROL,12
MAGE,148,119,DEPUTADO ESTADUAL,RICARDO DA KAROL,14
MAGE,110,499,DEPUTADO ESTADUAL,RICARDO DA KAROL,16
MAGE,148,202,DEPUTADO ESTADUAL,RICARDO DA KAROL,16
MAGE,148,69,DEPUTADO ESTADUAL,RICARDO DA KAROL,10
MAGE,148,88,DEPUTADO ESTADUAL,RICARDO DA KAROL,6
MAGE,110,274,DEPUTADO ESTADUAL,RICARDO DA KAROL,5
MAGE,110,419,DEPUTADO ESTADUAL,RICARDO DA KAROL,5
MAGE,148,152,DEPUTADO ESTADUAL,RICARDO DA KAROL,35
MAGE,148,111,DEPUTADO ESTADUAL,RICARDO DA KAROL,31
MAGE,110,537,DEPUTADO ESTADUAL,RICARDO DA KAROL,13
MAGE,110,102,DEPUTADO ESTADUAL,RICARDO DA KAROL,11
MAGE,148,154,DEPUTADO ESTADUAL,RICARDO DA KAROL,8
MAGE,110,505,DEPUTADO ESTADUAL,RICARDO DA KAROL,10
MAGE,110,455,DEPUTADO ESTADUAL,RICARDO DA KAROL,13
MAGE,110,123,DEPUTADO ESTADUAL,RICARDO DA KAROL,22
MAGE,110,500,DEPUTADO ESTADUAL,RICARDO DA KAROL,9
MAGE,110,225,DEPUTADO ESTADUAL,RICARDO DA KAROL,10
MAGE,110,22,DEPUTADO ESTADUAL,RICARDO DA KAROL,26
MAGE,148,50,DEPUTADO ESTADUAL,RICARDO DA KAROL,19
MAGE,110,37,DEPUTADO ESTADUAL,RICARDO DA KAROL,9
MAGE,110,398,DEPUTADO ESTADUAL,RICARDO DA KAROL,25
MAGE,148,31,DEPUTADO ESTADUAL,RICARDO DA KAROL,23
MAGE,110,31,DEPUTADO ESTADUAL,RICARDO DA KAROL,8
MAGE,110,526,DEPUTADO ESTADUAL,RICARDO DA KAROL,9
MAGE,148,142,DEPUTADO ESTADUAL,RICARDO DA KAROL,30
MAGE,148,274,DEPUTADO ESTADUAL,RICARDO DA KAROL,23
MAGE,148,259,DEPUTADO ESTADUAL,RICARDO DA KAROL,8
MAGE,110,409,DEPUTADO ESTADUAL,RICARDO DA KAROL,17
MAGE,148,101,DEPUTADO ESTADUAL,RICARDO DA KAROL,17
MAGE,148,162,DEPUTADO ESTADUAL,RICARDO DA KAROL,15
MAGE,148,41,DEPUTADO ESTADUAL,RICARDO DA KAROL,15
MAGE,148,247,DEPUTADO ESTADUAL,RICARDO DA KAROL,22
MAGE,110,466,DEPUTADO ESTADUAL,RICARDO DA KAROL,5
MAGE,110,511,DEPUTADO ESTADUAL,RICARDO DA KAROL,24
MAGE,110,445,DEPUTADO ESTADUAL,RICARDO DA KAROL,8
MAGE,110,101,DEPUTADO ESTADUAL,RICARDO DA KAROL,13
MAGE,110,504,DEPUTADO ESTADUAL,RICARDO DA KAROL,8
MAGE,110,487,DEPUTADO ESTADUAL,RICARDO DA KAROL,11
MAGE,148,106,DEPUTADO ESTADUAL,RICARDO DA KAROL,5
MAGE,110,291,DEPUTADO ESTADUAL,RICARDO DA KAROL,18
MAGE,148,165,DEPUTADO ESTADUAL,RICARDO DA KAROL,18
MAGE,110,391,DEPUTADO ESTADUAL,RICARDO DA KAROL,11
MAGE,148,45,DEPUTADO ESTADUAL,RICARDO DA KAROL,28
MAGE,110,548,DEPUTADO ESTADUAL,RICARDO DA KAROL,7
MAGE,110,474,DEPUTADO ESTADUAL,RICARDO DA KAROL,13
MAGE,148,244,DEPUTADO ESTADUAL,RICARDO DA KAROL,7
MAGE,148,121,DEPUTADO ESTADUAL,RICARDO DA KAROL,24
MAGE,148,25,DEPUTADO ESTADUAL,RICARDO DA KAROL,16
MAGE,148,49,DEPUTADO ESTADUAL,RICARDO DA KAROL,75
MAGE,110,417,DEPUTADO ESTADUAL,RICARDO DA KAROL,7
MAGE,110,297,DEPUTADO ESTADUAL,RICARDO DA KAROL,6
MAGE,110,557,DEPUTADO ESTADUAL,RICARDO DA KAROL,15
MAGE,110,365,DEPUTADO ESTADUAL,RICARDO DA KAROL,8
MAGE,110,481,DEPUTADO ESTADUAL,RICARDO DA KAROL,22
MAGE,148,44,DEPUTADO ESTADUAL,RICARDO DA KAROL,21
MAGE,110,426,DEPUTADO ESTADUAL,RICARDO DA KAROL,9
MAGE,148,9,DEPUTADO ESTADUAL,RICARDO DA KAROL,23
MAGE,110,441,DEPUTADO ESTADUAL,RICARDO DA KAROL,11
MAGE,148,1,DEPUTADO ESTADUAL,RICARDO DA KAROL,11
